KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Cellular Processes	Cell growth and death	hsa04115	  "p53 signaling pathway - Homo sapiens (human)"	68	['hsa:7161', 'hsa:898', 'hsa:595', 'hsa:900', 'hsa:894', 'hsa:10912', 'hsa:1643', 'hsa:4193', 'hsa:7157', 'hsa:85417', 'hsa:1029', 'hsa:1111', 'hsa:836', 'hsa:545', 'hsa:11200', 'hsa:6477', 'hsa:4194']	17	['hsa:25898', 'hsa:836', 'hsa:983', 'hsa:8493', 'hsa:6241', 'hsa:5728', 'hsa:54205', 'hsa:545', 'hsa:2810', 'hsa:55367', 'hsa:11200', 'hsa:6477', 'hsa:4194', 'hsa:5268', 'hsa:1026', 'hsa:10912', 'hsa:83667', 'hsa:842', 'hsa:891', 'hsa:1643', 'hsa:4193', 'hsa:901', 'hsa:7157', 'hsa:5366', 'hsa:64326', 'hsa:3486', 'hsa:85417', 'hsa:1029', 'hsa:9538', 'hsa:1111', 'hsa:9133', 'hsa:637', 'hsa:355', 'hsa:50484', 'hsa:841', 'hsa:51512', 'hsa:7161', 'hsa:3732', 'hsa:4616', 'hsa:7249', 'hsa:898', 'hsa:1021', 'hsa:5054', 'hsa:595', 'hsa:896', 'hsa:900', 'hsa:9540', 'hsa:894', 'hsa:317']	49	34.69387755102041
Organismal Systems	Digestive system	hsa04978	  "Mineral absorption - Homo sapiens (human)"	51	['hsa:54822', 'hsa:7421', 'hsa:475']	3	['hsa:538', 'hsa:2495', 'hsa:7779', 'hsa:475', 'hsa:65010', 'hsa:261729', 'hsa:6550', 'hsa:490', 'hsa:79901', 'hsa:113235', 'hsa:2512', 'hsa:54822', 'hsa:3162', 'hsa:3163', 'hsa:7421']	15	20.0
Human Diseases	Immune diseases	hsa05340	  "Primary immunodeficiency - Homo sapiens (human)"	36	['hsa:8625', 'hsa:5788', 'hsa:115650', 'hsa:4261']	4	['hsa:3575', 'hsa:4261', 'hsa:3932', 'hsa:100', 'hsa:115650', 'hsa:920', 'hsa:695', 'hsa:8625', 'hsa:7374', 'hsa:5788', 'hsa:959']	11	36.36363636363637
Human Diseases	Infectious diseases	hsa05100	  "Bacterial invasion of epithelial cells - Homo sapiens (human)"	78	['hsa:7454', 'hsa:55964', 'hsa:10094', 'hsa:8936', 'hsa:1793']	5	['hsa:3611', 'hsa:1499', 'hsa:4735', 'hsa:5747', 'hsa:1212', 'hsa:10801', 'hsa:6714', 'hsa:23607', 'hsa:10552', 'hsa:5290', 'hsa:1211', 'hsa:25759', 'hsa:10095', 'hsa:5879', 'hsa:124404', 'hsa:1213', 'hsa:5295', 'hsa:3688', 'hsa:1793', 'hsa:9844', 'hsa:10163', 'hsa:6464', 'hsa:3678', 'hsa:10109', 'hsa:7454', 'hsa:999', 'hsa:9564', 'hsa:63916', 'hsa:387', 'hsa:998', 'hsa:79658', 'hsa:60', 'hsa:1785', 'hsa:5829', 'hsa:1399', 'hsa:55964', 'hsa:79767', 'hsa:858', 'hsa:857', 'hsa:4233', 'hsa:8976', 'hsa:2549', 'hsa:867', 'hsa:10094', 'hsa:8936', 'hsa:868', 'hsa:26084', 'hsa:8503']	48	10.416666666666668
Organismal Systems	Immune system	hsa04664	  "Fc epsilon RI signaling pathway - Homo sapiens (human)"	70	['hsa:2534', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:5894', 'hsa:207', 'hsa:5580', 'hsa:2885', 'hsa:27040']	11	['hsa:5580', 'hsa:5604', 'hsa:3596', 'hsa:2885', 'hsa:5600', 'hsa:6300', 'hsa:5336', 'hsa:27040', 'hsa:5290', 'hsa:5335', 'hsa:5605', 'hsa:5894', 'hsa:5879', 'hsa:5170', 'hsa:7409', 'hsa:207', 'hsa:5295', 'hsa:5578', 'hsa:695', 'hsa:2534', 'hsa:5606', 'hsa:5601', 'hsa:6416', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:6654', 'hsa:5321', 'hsa:10000', 'hsa:8503']	32	34.375
Organismal Systems	Endocrine system	hsa04614	  "Renin-angiotensin system - Homo sapiens (human)"	23	['hsa:10159']	1	['hsa:7064', 'hsa:10159', 'hsa:57486', 'hsa:5476', 'hsa:5550']	5	20.0
Organismal Systems	Sensory system	hsa04740	  "Olfactory transduction - Homo sapiens (human)"	407	['hsa:157', 'hsa:109', 'hsa:5137', 'hsa:5613']	4	['hsa:51806', 'hsa:5613', 'hsa:5592', 'hsa:341568', 'hsa:801', 'hsa:109', 'hsa:2774', 'hsa:5137', 'hsa:2978', 'hsa:157']	10	40.0
Organismal Systems	Immune system	hsa04623	  "Cytosolic DNA-sensing pathway - Homo sapiens (human)"	64	['hsa:55703', 'hsa:55718', 'hsa:5435', 'hsa:171568', 'hsa:10622', 'hsa:10621', 'hsa:11128', 'hsa:103', 'hsa:5437', 'hsa:9533', 'hsa:10623', 'hsa:51082', 'hsa:11277']	13	['hsa:5437', 'hsa:115004', 'hsa:661', 'hsa:9533', 'hsa:5970', 'hsa:10623', 'hsa:51082', 'hsa:1147', 'hsa:11277', 'hsa:84265', 'hsa:3661', 'hsa:10621', 'hsa:90865', 'hsa:8737', 'hsa:834', 'hsa:11128', 'hsa:3606', 'hsa:103', 'hsa:51728', 'hsa:55703', 'hsa:55718', 'hsa:57506', 'hsa:5435', 'hsa:171568', 'hsa:4792', 'hsa:29108', 'hsa:3551', 'hsa:23586', 'hsa:4790', 'hsa:10622']	30	43.333333333333336
Human Diseases	Endocrine and metabolic diseases	hsa04932	  "Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	151	['hsa:2932', 'hsa:9167', 'hsa:468', 'hsa:1327', 'hsa:5565', 'hsa:5562', 'hsa:207', 'hsa:836', 'hsa:1649', 'hsa:3725', 'hsa:6256', 'hsa:4514']	12	['hsa:4724', 'hsa:836', 'hsa:27089', 'hsa:1345', 'hsa:4712', 'hsa:7386', 'hsa:3667', 'hsa:3643', 'hsa:54205', 'hsa:5970', 'hsa:1649', 'hsa:3725', 'hsa:1537', 'hsa:55967', 'hsa:8660', 'hsa:51079', 'hsa:6256', 'hsa:4512', 'hsa:4514', 'hsa:4722', 'hsa:5290', 'hsa:1340', 'hsa:7186', 'hsa:468', 'hsa:1327', 'hsa:5565', 'hsa:5562', 'hsa:1965', 'hsa:1329', 'hsa:5879', 'hsa:4711', 'hsa:7385', 'hsa:207', 'hsa:5295', 'hsa:54539', 'hsa:4715', 'hsa:4720', 'hsa:51094', 'hsa:4731', 'hsa:125965', 'hsa:79602', 'hsa:7384', 'hsa:637', 'hsa:4719', 'hsa:10062', 'hsa:355', 'hsa:5601', 'hsa:841', 'hsa:4710', 'hsa:7132', 'hsa:998', 'hsa:6720', 'hsa:6389', 'hsa:83737', 'hsa:2932', 'hsa:3551', 'hsa:7040', 'hsa:2931', 'hsa:51422', 'hsa:4790', 'hsa:4717', 'hsa:4728', 'hsa:5564', 'hsa:9167', 'hsa:10000', 'hsa:6390', 'hsa:8503', 'hsa:4702']	68	17.647058823529413
Human Diseases	Immune diseases	hsa05321	  "Inflammatory bowel disease (IBD) - Homo sapiens (human)"	67	['hsa:50943', 'hsa:7042', 'hsa:2625', 'hsa:7043', 'hsa:7099', 'hsa:6775', 'hsa:3460', 'hsa:3725']	8	['hsa:6778', 'hsa:4088', 'hsa:6774', 'hsa:3596', 'hsa:5970', 'hsa:3725', 'hsa:7100', 'hsa:7099', 'hsa:6775', 'hsa:3606', 'hsa:3460', 'hsa:3459', 'hsa:50943', 'hsa:3566', 'hsa:3595', 'hsa:7042', 'hsa:50615', 'hsa:7040', 'hsa:2625', 'hsa:4790', 'hsa:51561', 'hsa:6772', 'hsa:8809', 'hsa:7043']	24	33.33333333333333
Genetic Information Processing	Folding, sorting and degradation	hsa03018	  "RNA degradation - Homo sapiens (human)"	77	['hsa:23517', 'hsa:23016', 'hsa:22803', 'hsa:11044', 'hsa:23019', 'hsa:51691', 'hsa:5073', 'hsa:10140', 'hsa:27258', 'hsa:51013', 'hsa:167227', 'hsa:80153', 'hsa:10438', 'hsa:131870', 'hsa:6499', 'hsa:57819']	16	['hsa:11157', 'hsa:219988', 'hsa:115752', 'hsa:27258', 'hsa:51013', 'hsa:5394', 'hsa:167227', 'hsa:170506', 'hsa:27257', 'hsa:54512', 'hsa:80153', 'hsa:25904', 'hsa:10438', 'hsa:131870', 'hsa:9652', 'hsa:29883', 'hsa:6499', 'hsa:57819', 'hsa:5393', 'hsa:23019', 'hsa:51691', 'hsa:51690', 'hsa:25804', 'hsa:694', 'hsa:10200', 'hsa:87178', 'hsa:246175', 'hsa:80349', 'hsa:5073', 'hsa:10140', 'hsa:5211', 'hsa:3329', 'hsa:84186', 'hsa:196513', 'hsa:255967', 'hsa:5213', 'hsa:7832', 'hsa:23644', 'hsa:23517', 'hsa:5214', 'hsa:26986', 'hsa:2023', 'hsa:23016', 'hsa:56915', 'hsa:4849', 'hsa:22803', 'hsa:8761', 'hsa:2027', 'hsa:28960', 'hsa:1656', 'hsa:11044', 'hsa:3313', 'hsa:57472', 'hsa:54464', 'hsa:11340', 'hsa:64282']	56	28.57142857142857
Cellular Processes	Transport and catabolism	hsa04144	  "Endocytosis - Homo sapiens (human)"	258	['hsa:7454', 'hsa:116984', 'hsa:7042', 'hsa:157', 'hsa:9267', 'hsa:10094', 'hsa:7043', 'hsa:3791', 'hsa:84313', 'hsa:116983', 'hsa:116986', 'hsa:4193', 'hsa:23325', 'hsa:408', 'hsa:5371', 'hsa:4218', 'hsa:147179', 'hsa:10193']	18	['hsa:5979', 'hsa:4088', 'hsa:138429', 'hsa:4218', 'hsa:55048', 'hsa:3800', 'hsa:10015', 'hsa:3799', 'hsa:147179', 'hsa:254122', 'hsa:156', 'hsa:3310', 'hsa:7189', 'hsa:1212', 'hsa:79643', 'hsa:155382', 'hsa:80230', 'hsa:10193', 'hsa:9798', 'hsa:161', 'hsa:9146', 'hsa:23396', 'hsa:116985', 'hsa:160', 'hsa:3482', 'hsa:6714', 'hsa:2870', 'hsa:2869', 'hsa:3304', 'hsa:3303', 'hsa:3133', 'hsa:6643', 'hsa:10552', 'hsa:26286', 'hsa:1211', 'hsa:9559', 'hsa:11059', 'hsa:84612', 'hsa:10564', 'hsa:57403', 'hsa:23096', 'hsa:10617', 'hsa:2868', 'hsa:58513', 'hsa:3791', 'hsa:5338', 'hsa:58533', 'hsa:3949', 'hsa:10095', 'hsa:27243', 'hsa:64145', 'hsa:84313', 'hsa:116983', 'hsa:23111', 'hsa:116986', 'hsa:26056', 'hsa:4193', 'hsa:23325', 'hsa:51028', 'hsa:11311', 'hsa:274', 'hsa:8027', 'hsa:408', 'hsa:9101', 'hsa:9815', 'hsa:3480', 'hsa:5371', 'hsa:1213', 'hsa:93343', 'hsa:6455', 'hsa:8394', 'hsa:375', 'hsa:9922', 'hsa:1956', 'hsa:30011', 'hsa:91782', 'hsa:56904', 'hsa:56288', 'hsa:84364', 'hsa:112936', 'hsa:8853', 'hsa:1601', 'hsa:50807', 'hsa:137492', 'hsa:80223', 'hsa:26119', 'hsa:11267', 'hsa:2264', 'hsa:51160', 'hsa:10109', 'hsa:5584', 'hsa:163', 'hsa:9265', 'hsa:51534', 'hsa:7454', 'hsa:6642', 'hsa:9135', 'hsa:9765', 'hsa:116984', 'hsa:29924', 'hsa:2065', 'hsa:2263', 'hsa:10565', 'hsa:387', 'hsa:5590', 'hsa:55737', 'hsa:4734', 'hsa:998', 'hsa:22905', 'hsa:7037', 'hsa:7251', 'hsa:5337', 'hsa:7879', 'hsa:832', 'hsa:273', 'hsa:83737', 'hsa:1785', 'hsa:25978', 'hsa:64744', 'hsa:2060', 'hsa:51510', 'hsa:27131', 'hsa:51324', 'hsa:9727', 'hsa:7042', 'hsa:51100', 'hsa:157', 'hsa:55738', 'hsa:8411', 'hsa:8766', 'hsa:7040', 'hsa:858', 'hsa:857', 'hsa:4233', 'hsa:8976', 'hsa:7046', 'hsa:22841', 'hsa:8729', 'hsa:28964', 'hsa:9267', 'hsa:5878', 'hsa:867', 'hsa:10094', 'hsa:51699', 'hsa:60682', 'hsa:8724', 'hsa:23527', 'hsa:868', 'hsa:10254', 'hsa:9829', 'hsa:7043', 'hsa:51019']	152	11.842105263157894
Environmental Information Processing	Signaling molecules and interaction	hsa04512	  "ECM-receptor interaction - Homo sapiens (human)"	87	['hsa:7143', 'hsa:22987', 'hsa:3911', 'hsa:1280', 'hsa:961', 'hsa:1290']	6	['hsa:7059', 'hsa:3913', 'hsa:1605', 'hsa:2811', 'hsa:7058', 'hsa:1282', 'hsa:375790', 'hsa:5649', 'hsa:961', 'hsa:3914', 'hsa:1290', 'hsa:22987', 'hsa:6385', 'hsa:1289', 'hsa:3911', 'hsa:1284', 'hsa:3679', 'hsa:3915', 'hsa:3685', 'hsa:1280', 'hsa:3695', 'hsa:1291', 'hsa:1292', 'hsa:3339', 'hsa:3688', 'hsa:9900', 'hsa:3678', 'hsa:3675', 'hsa:3674', 'hsa:960', 'hsa:3371', 'hsa:3909', 'hsa:3918', 'hsa:1301', 'hsa:3161', 'hsa:3693', 'hsa:3912', 'hsa:284217', 'hsa:3696', 'hsa:1277', 'hsa:7450', 'hsa:3910', 'hsa:6382', 'hsa:7143']	44	13.636363636363635
Genetic Information Processing	Folding, sorting and degradation	hsa04141	  "Protein processing in endoplasmic reticulum - Homo sapiens (human)"	169	['hsa:8454', 'hsa:29927', 'hsa:27102', 'hsa:10484', 'hsa:573', 'hsa:9532', 'hsa:80267', 'hsa:57134', 'hsa:5887', 'hsa:468', 'hsa:10427', 'hsa:6184', 'hsa:1649', 'hsa:1388']	14	['hsa:6184', 'hsa:22824', 'hsa:7415', 'hsa:7184', 'hsa:2923', 'hsa:80700', 'hsa:3310', 'hsa:1649', 'hsa:9632', 'hsa:11253', 'hsa:5886', 'hsa:55432', 'hsa:55666', 'hsa:5034', 'hsa:10134', 'hsa:29978', 'hsa:10905', 'hsa:6048', 'hsa:3304', 'hsa:3303', 'hsa:1388', 'hsa:81567', 'hsa:1650', 'hsa:92552', 'hsa:6745', 'hsa:6238', 'hsa:821', 'hsa:7186', 'hsa:468', 'hsa:440275', 'hsa:5589', 'hsa:7322', 'hsa:55829', 'hsa:3337', 'hsa:23640', 'hsa:1965', 'hsa:29979', 'hsa:3300', 'hsa:10970', 'hsa:64215', 'hsa:79139', 'hsa:9373', 'hsa:10113', 'hsa:22872', 'hsa:10427', 'hsa:10130', 'hsa:54788', 'hsa:9871', 'hsa:9601', 'hsa:84447', 'hsa:824', 'hsa:201595', 'hsa:7095', 'hsa:51360', 'hsa:823', 'hsa:3309', 'hsa:5601', 'hsa:9709', 'hsa:8454', 'hsa:5610', 'hsa:29927', 'hsa:10294', 'hsa:7353', 'hsa:7321', 'hsa:51009', 'hsa:3998', 'hsa:51619', 'hsa:3320', 'hsa:3301', 'hsa:27102', 'hsa:23645', 'hsa:55968', 'hsa:10961', 'hsa:23193', 'hsa:51726', 'hsa:3326', 'hsa:91319', 'hsa:10484', 'hsa:80331', 'hsa:10483', 'hsa:5611', 'hsa:10273', 'hsa:10952', 'hsa:573', 'hsa:7323', 'hsa:1410', 'hsa:4121', 'hsa:9532', 'hsa:6500', 'hsa:6747', 'hsa:4780', 'hsa:80267', 'hsa:26232', 'hsa:57134', 'hsa:6185', 'hsa:5887', 'hsa:10808']	97	14.432989690721648
Organismal Systems	Excretory system	hsa04966	  "Collecting duct acid secretion - Homo sapiens (human)"	27	['hsa:51382', 'hsa:529', 'hsa:9550']	3	['hsa:23545', 'hsa:9296', 'hsa:529', 'hsa:9550', 'hsa:526', 'hsa:528', 'hsa:535', 'hsa:51382', 'hsa:50617', 'hsa:10312', 'hsa:523']	11	27.27272727272727
