Pathway identifier,Pathway name,# Entities found,# Entities total,Entities ratio,Entities pValue,Entities FDR,# Reactions found,# Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-69300,"Removal of licensing factors from origins",18,74,0.007260596546310832,0.00492803883170434,0.3843870288729385,11,11,0.001343101343101343,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000112312;ENSG00000100519;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000164815;ENSG00000073111;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;P46527;Q16401","R-HSA-68940;R-HSA-69299;R-HSA-69015;R-HSA-69019;R-HSA-68948;R-HSA-69016;R-HSA-68946;R-HSA-69006;R-HSA-68947;R-HSA-68944;R-HSA-69005"
R-HSA-180534,"Vpu mediated degradation of CD4",14,52,0.00510204081632653,0.005332608333223021,0.38928040832528055,4,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843","P48556;O43242;Q9Y297;Q06323;O00487;Q99436;P20618;Q9UNM6;P63208;P55036;P62333;P60900;O75832;Q16401","R-HSA-180573;R-HSA-180591;R-HSA-180599;R-HSA-180597"
R-HSA-5607764,"CLEC7A (Dectin-1) signaling",25,119,0.011675824175824176,0.0067360872440541675,0.39775474107402964,24,45,0.005494505494505495,48887,Homo sapiens,"ENSG00000095261;ENSG00000138814;ENSG00000100324;ENSG00000100902;ENSG00000077150;ENSG00000135341;ENSG00000099341;ENSG00000136930;ENSG00000108344;ENSG00000099804;ENSG00000213341;ENSG00000166167;ENSG00000100902;ENSG00000104856;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000072736;ENSG00000092010;ENSG00000103490;ENSG00000092010;ENSG00000064012;ENSG00000185627;ENSG00000136930;ENSG00000104856;ENSG00000109320;ENSG00000101843;ENSG00000100519;ENSG00000113558;ENSG00000103490;ENSG00000100519;ENSG00000099804;ENSG00000185627;ENSG00000138814;ENSG00000095261;ENSG00000008018;ENSG00000064012;ENSG00000109320;ENSG00000100324;ENSG00000135341;ENSG00000159352;ENSG00000115233;ENSG00000115233;ENSG00000072736;ENSG00000213341;ENSG00000113558;ENSG00000108344;ENSG00000077150;ENSG00000101843","P48556;O43242;Q9Y297;Q08209;Q9ULZ3;O00487;O15111;Q99436;P20618;O43318;Q00653;P63208;P55036;Q12968;Q16401;Q14790;Q06323;Q15750;P19838;P49427;Q01201;Q9UNM6;P62333;P60900;O75832","R-HSA-5607731;R-HSA-5607728;R-HSA-202541;R-HSA-5660665;R-HSA-2730867;R-HSA-5607732;R-HSA-202534;R-HSA-5660965;R-HSA-5660662;R-HSA-5660663;R-HSA-5607742;R-HSA-2730872;R-HSA-5607741;R-HSA-5660622;R-HSA-2730849;R-HSA-2730894;R-HSA-5607757;R-HSA-5607723;R-HSA-5607722;R-HSA-5607759;R-HSA-5607720;R-HSA-5607726;R-HSA-5607725;R-HSA-5607724"
R-HSA-453279,"Mitotic G1-G1/S phases",28,139,0.013638147566718996,0.0074118494282279235,0.39775474107402964,37,53,0.006471306471306472,48887,Homo sapiens,"ENSG00000095261;ENSG00000177084;ENSG00000170312;ENSG00000101868;ENSG00000103479;ENSG00000100902;ENSG00000112242;ENSG00000099341;ENSG00000136930;ENSG00000108344;ENSG00000111276;ENSG00000100902;ENSG00000103479;ENSG00000125952;ENSG00000094804;ENSG00000159352;ENSG00000008018;ENSG00000073111;ENSG00000099341;ENSG00000164815;ENSG00000105810;ENSG00000171848;ENSG00000094804;ENSG00000092010;ENSG00000125952;ENSG00000092010;ENSG00000105810;ENSG00000101057;ENSG00000101868;ENSG00000101057;ENSG00000185627;ENSG00000136930;ENSG00000101843;ENSG00000100519;ENSG00000113558;ENSG00000112242;ENSG00000100519;ENSG00000085840;ENSG00000085840;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000159352;ENSG00000177084;ENSG00000164815;ENSG00000115233;ENSG00000115233;ENSG00000170312;ENSG00000162521;ENSG00000073111;ENSG00000171848;ENSG00000162521;ENSG00000113558;ENSG00000108344;ENSG00000101843;ENSG00000111276","P48556;O43242;P06493;P31350;O00487;Q99436;P20618;Q99741;Q09028;P61244;P63208;P55036;P49736;Q00534;Q16401;Q08999;Q07864;Q06323;P09884;Q9UNM6;O43913;P10244;Q13415;P62333;P60900;P46527;O00716;O75832","R-HSA-69227;R-HSA-1362270;R-HSA-539107;R-HSA-68954;R-HSA-187545;R-HSA-1362261;R-HSA-69223;R-HSA-69562;R-HSA-188345;R-HSA-68940;R-HSA-1363328;R-HSA-1363276;R-HSA-1363331;R-HSA-187520;R-HSA-187506;R-HSA-1227670;R-HSA-1362300;R-HSA-141299;R-HSA-1226094;R-HSA-1226095;R-HSA-187575;R-HSA-68914;R-HSA-182594;R-HSA-187574;R-HSA-68916;R-HSA-68917;R-HSA-68918;R-HSA-68919;R-HSA-1363303;R-HSA-69213;R-HSA-113638;R-HSA-1362277;R-HSA-113504;R-HSA-113505;R-HSA-187552;R-HSA-1363306;R-HSA-68960"
R-HSA-211733,"Regulation of activated PAK-2p34 by proteasome mediated degradation",13,49,0.004807692307692308,0.007941442635856166,0.39775474107402964,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000159352;ENSG00000101843;ENSG00000008018;ENSG00000100519;ENSG00000115233;ENSG00000099341;ENSG00000115233;ENSG00000100519;ENSG00000100902;ENSG00000180370;ENSG00000092010;ENSG00000092010;ENSG00000099341;ENSG00000136930;ENSG00000185627;ENSG00000108344;ENSG00000180370;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000185627;ENSG00000108344;ENSG00000101843;ENSG00000159352","P20618;P48556;O43242;Q9UNM6;Q06323;P55036;P62333;Q13177;P60900;O75832;O00487;Q16401;Q99436","R-HSA-211734;R-HSA-211715"
R-HSA-69052,"Switching of origins to a post-replicative state",17,72,0.00706436420722135,0.00811744369538836,0.39775474107402964,9,9,0.001098901098901099,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000073111;ENSG00000164815;ENSG00000115233;ENSG00000099341;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;P46527;Q16401","R-HSA-69015;R-HSA-69019;R-HSA-68948;R-HSA-69016;R-HSA-68946;R-HSA-69006;R-HSA-68947;R-HSA-68944;R-HSA-69005"
R-HSA-68949,"Orc1 removal from chromatin",17,72,0.00706436420722135,0.00811744369538836,0.39775474107402964,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000073111;ENSG00000164815;ENSG00000115233;ENSG00000099341;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;P46527;Q16401","R-HSA-68948;R-HSA-68946;R-HSA-68947;R-HSA-68944"
R-HSA-5610780,"Degradation of GLI1 by the proteasome",15,61,0.0059850863422291995,0.008828328644597927,0.41493144629610257,5,6,7.326007326007326E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000078747;ENSG00000100519;ENSG00000113558;ENSG00000078747;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843","P48556;O43242;Q9Y297;Q06323;O00487;Q99436;P20618;Q9UNM6;P63208;P55036;P62333;P60900;O75832;Q96J02;Q16401","R-HSA-5610760;R-HSA-5610742;R-HSA-5610737;R-HSA-5610735;R-HSA-5610758"
R-HSA-350562,"Regulation of ornithine decarboxylase (ODC)",13,51,0.0050039246467817895,0.010781827664896992,0.4620882441730795,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000159352;ENSG00000101843;ENSG00000008018;ENSG00000100519;ENSG00000115233;ENSG00000099341;ENSG00000115233;ENSG00000100519;ENSG00000100902;ENSG00000092010;ENSG00000092010;ENSG00000099341;ENSG00000136930;ENSG00000185627;ENSG00000108344;ENSG00000115758;ENSG00000115758;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000185627;ENSG00000108344;ENSG00000101843;ENSG00000159352","P48556;O43242;Q06323;P11926;Q99436;O00487;P20618;Q9UNM6;P55036;P62333;P60900;O75832;Q16401","R-HSA-350567;R-HSA-350600;R-HSA-353125;R-HSA-350578"
R-HSA-69017,"CDK-mediated phosphorylation and removal of Cdc6",13,52,0.00510204081632653,0.01247001864380004,0.4620882441730795,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000101843;ENSG00000100519;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000094804;ENSG00000092010;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843","P20618;P48556;Q99741;O43242;Q9UNM6;Q06323;P55036;P62333;P60900;O75832;O00487;Q99436;Q16401","R-HSA-69015;R-HSA-69016;R-HSA-69006;R-HSA-69005"
R-HSA-69206,"G1/S Transition",23,113,0.01108712715855573,0.012724616633005392,0.4620882441730795,20,32,0.003907203907203907,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000101843;ENSG00000177084;ENSG00000100519;ENSG00000170312;ENSG00000101868;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000125952;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000177084;ENSG00000073111;ENSG00000164815;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000170312;ENSG00000073111;ENSG00000171848;ENSG00000094804;ENSG00000092010;ENSG00000171848;ENSG00000092010;ENSG00000125952;ENSG00000101868;ENSG00000113558;ENSG00000185627;ENSG00000108344;ENSG00000101843;ENSG00000111276","P48556;Q07864;O43242;Q06323;P09884;P06493;P31350;O00487;Q99436;P20618;Q99741;P61244;Q9UNM6;P63208;O43913;P55036;P49736;P62333;Q13415;P60900;P46527;O75832;Q16401","R-HSA-187506;R-HSA-68954;R-HSA-539107;R-HSA-187545;R-HSA-187575;R-HSA-68914;R-HSA-187574;R-HSA-68916;R-HSA-68917;R-HSA-68918;R-HSA-69562;R-HSA-68919;R-HSA-188345;R-HSA-68940;R-HSA-113638;R-HSA-113504;R-HSA-113505;R-HSA-187552;R-HSA-68960;R-HSA-187520"
R-HSA-187577,"SCF(Skp2)-mediated degradation of p27/p21",14,58,0.005690737833594976,0.012886434201807573,0.4620882441730795,5,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O00487;Q99436;P20618;Q9UNM6;P63208;P55036;P62333;P60900;O75832;P46527;Q16401","R-HSA-187545;R-HSA-187575;R-HSA-187574;R-HSA-187552;R-HSA-187520"
R-HSA-69656,"Cyclin A:Cdk2-associated events at S phase entry",16,70,0.006868131868131868,0.013202521262087985,0.4620882441730795,11,16,0.0019536019536019536,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000101224;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000125952;ENSG00000159352;ENSG00000101224;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000125952;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O00487;Q99436;P20618;P61244;Q9UNM6;P63208;P30305;P55036;P62333;P60900;O75832;P46527;Q16401","R-HSA-187506;R-HSA-188345;R-HSA-187545;R-HSA-174110;R-HSA-187575;R-HSA-187574;R-HSA-187934;R-HSA-187552;R-HSA-187948;R-HSA-187520;R-HSA-187916"
R-HSA-349425,"Autodegradation of the E3 ubiquitin ligase COP1",13,53,0.005200156985871272,0.014355128058360811,0.5024294820426284,5,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000101843;ENSG00000100519;ENSG00000143207;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000143207;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843","P20618;P48556;O43242;Q9UNM6;Q06323;P55036;P62333;P60900;Q8NHY2;O75832;O00487;Q99436;Q16401","R-HSA-264444;R-HSA-264435;R-HSA-264418;R-HSA-264458;R-HSA-349444"
